,Education,Marital_Status,Income,Children,Recency,Total_spent,Total_no_purchase,TotalAcceptedCmp,Complain,Response,Age,Labels
0,3,0,58138.0,0,58,1617,25,1,0,1,64,2
1,3,0,46344.0,2,38,27,6,0,0,0,67,0
2,3,1,71613.0,0,26,776,21,0,0,0,56,1
3,3,1,26646.0,1,26,53,8,0,0,0,37,0
4,2,1,58293.0,1,94,422,19,0,0,0,40,1
5,1,1,62513.0,1,16,716,22,0,0,0,54,1
6,3,0,55635.0,1,34,590,21,0,0,0,50,1
7,2,1,33454.0,1,32,169,10,0,0,0,36,0
8,2,1,30351.0,1,19,46,6,1,0,1,47,0
9,2,1,5648.0,2,68,49,2,1,0,0,71,0
10,0,1,7500.0,0,59,61,6,0,0,0,45,0
11,3,0,63033.0,0,82,1102,16,0,0,0,62,1
12,1,0,59354.0,2,53,310,15,0,0,0,69,0
13,3,1,17323.0,0,38,46,5,0,0,0,34,0
14,2,0,82800.0,0,23,1315,26,3,0,1,75,2
15,3,1,41850.0,2,51,96,9,0,0,0,41,0
16,3,1,37760.0,0,20,317,13,0,0,0,75,1
17,1,1,76995.0,1,91,1782,26,1,0,0,72,1
18,1,0,33812.0,1,86,133,8,0,0,0,36,0
19,3,1,37040.0,0,41,316,12,0,0,0,39,0
20,3,1,2447.0,1,42,1730,43,0,0,0,42,1
21,2,1,58607.0,1,63,972,17,1,0,0,72,1
22,2,1,65324.0,1,0,544,20,0,0,0,67,1
23,3,1,40689.0,1,69,444,20,0,0,0,70,1
24,3,0,18589.0,0,89,75,8,0,0,0,52,0
25,3,1,53359.0,2,4,257,14,0,0,0,45,0
26,3,1,38360.0,1,26,131,9,0,0,0,32,0
27,2,1,84618.0,0,96,1672,26,1,0,0,56,1
28,1,0,10979.0,0,34,30,8,0,0,0,32,0
29,1,1,38620.0,0,56,318,11,0,0,0,58,0
30,3,1,40548.0,1,31,120,9,1,0,0,51,0
31,2,0,46610.0,2,8,302,17,1,0,1,69,2
32,1,1,68657.0,0,4,1196,18,0,0,0,75,1
33,1,0,49389.0,2,55,65,6,0,0,0,70,0
34,2,1,67353.0,1,37,913,28,0,0,0,51,1
35,1,1,23718.0,1,76,81,9,0,0,0,45,0
36,3,0,42429.0,1,99,67,7,0,0,0,48,0
37,2,0,48948.0,0,53,902,24,2,0,1,78,2
38,3,1,80011.0,1,3,1395,21,0,0,0,41,1
39,1,1,20559.0,1,88,53,7,0,0,0,36,0
40,3,1,21994.0,1,4,22,4,0,0,0,64,0
41,1,1,7500.0,1,19,31,8,0,0,0,46,0
42,3,0,79941.0,0,72,984,16,0,0,0,45,1
43,1,1,7500.0,0,24,122,10,1,0,1,25,2
44,3,1,41728.0,1,92,55,5,0,0,0,53,0
45,2,1,72550.0,2,39,1319,28,0,0,0,67,1
46,3,0,65486.0,1,29,507,17,0,0,0,64,1
47,1,1,79143.0,0,2,1693,29,0,0,0,57,1
48,3,0,35790.0,1,54,72,7,0,0,0,44,0
49,3,0,82582.0,0,54,1617,21,3,0,1,44,2
50,3,1,66373.0,2,57,606,23,0,0,0,43,1
51,1,1,82384.0,0,55,1957,27,2,0,1,66,2
52,3,0,70287.0,0,30,1093,21,1,0,1,55,2
53,3,0,27938.0,1,31,29,6,0,0,0,33,0
54,2,1,55954.0,1,63,518,19,0,0,0,53,1
55,1,0,75777.0,0,12,1438,21,3,0,1,39,2
56,3,1,66653.0,2,18,612,22,0,0,0,46,1
57,3,0,61823.0,1,26,884,24,0,0,0,69,1
58,2,0,67680.0,1,8,606,19,0,0,0,70,1
59,3,1,70666.0,0,29,1076,16,0,0,0,73,1
60,3,1,25721.0,1,75,34,5,1,0,1,50,0
61,3,1,32474.0,2,0,11,4,0,0,0,54,0
62,1,0,88194.0,1,19,1274,32,3,0,1,42,2
63,3,1,69096.0,1,4,653,18,0,0,0,63,1
64,3,1,74854.0,3,90,1562,19,0,0,0,51,1
65,1,1,66991.0,0,1,1253,21,0,0,0,67,1
66,3,1,65031.0,1,29,863,30,0,0,0,62,1
67,2,1,60631.0,2,88,661,24,1,0,0,46,1
68,3,1,28332.0,0,58,65,8,0,0,0,69,0
69,3,0,40246.0,1,68,13,4,0,0,0,44,0
70,1,1,75251.0,0,34,1890,19,1,0,1,49,2
71,3,0,75825.0,0,40,2209,22,2,0,1,45,2
72,1,1,26326.0,0,12,18,4,0,1,0,45,3
73,3,1,56046.0,0,9,692,21,2,0,1,56,2
74,3,0,29760.0,1,87,165,12,0,0,0,36,0
75,3,1,26304.0,1,5,16,4,0,0,0,52,0
76,1,1,23559.0,1,87,79,9,0,0,0,48,0
77,1,1,38620.0,0,56,318,11,0,0,0,58,0
78,3,0,81361.0,0,18,778,27,0,0,0,34,1
79,3,1,29440.0,2,95,56,7,0,0,0,61,0
80,1,1,36138.0,2,48,151,13,1,0,0,51,0
